model,model_key,active_params_B,architecture,topic,openalex_works,n_refs,title_match_rate,relevance,title_quality
Gemma 3 4B,gemma_3_4b,4,dense,Environmental Science,247835,10,0.2,0.85,0.17
Gemma 3 4B,gemma_3_4b,4,dense,Girls education,71707,10,0.0,0.8,0.0
Gemma 3 4B,gemma_3_4b,4,dense,Health,8504910,10,0.0,0.8,0.0
Gemma 3 4B,gemma_3_4b,4,dense,Infectious disease,469401,10,0.2,0.95,0.19
Gemma 3 4B,gemma_3_4b,4,dense,Insecticide-treated bed nets for malaria,1331,8,0.0,0.875,0.0
Gemma 3 4B,gemma_3_4b,4,dense,Malaria prevention,13463,10,0.1,0.95,0.095
Gemma 3 4B,gemma_3_4b,4,dense,Microfinance loan repayment,1341,10,0.1,0.55,0.055
Gemma 3 4B,gemma_3_4b,4,dense,Mini-grid electrification,747,9,0.0,0.9444,0.0
Gemma 3 4B,gemma_3_4b,4,dense,Mobile banking,17971,10,0.1,1.0,0.1
Gemma 3 4B,gemma_3_4b,4,dense,Political Science,285942,10,0.1,0.75,0.075
Gemma 3 4B,gemma_3_4b,4,dense,Renewable energy,501950,10,0.0,0.95,0.0
Gemma 3 4B,gemma_3_4b,4,dense,Rural electrification,9391,10,0.0,1.0,0.0
Gemma 3 4B,gemma_3_4b,4,dense,School dropout,19413,10,0.0,0.8,0.0
Gemma 3 4B,gemma_3_4b,4,dense,School dropout prevention programs in rural areas,32,10,0.0,0.9,0.0
Gemma 3 4B,gemma_3_4b,4,dense,Voter turnout,10283,10,0.0,0.9,0.0
Llama 3.1 8B,llama_3_1_8b,8,dense,Biometric voter registration,171,10,0.1,0.95,0.095
Llama 3.1 8B,llama_3_1_8b,8,dense,Climate change,1222665,10,0.6,0.9,0.54
Llama 3.1 8B,llama_3_1_8b,8,dense,Climate change adaptation in agriculture,25815,10,0.3,0.6,0.18
Llama 3.1 8B,llama_3_1_8b,8,dense,Climate-smart agriculture for smallholder farmers,1406,9,0.1111,0.5,0.0556
Llama 3.1 8B,llama_3_1_8b,8,dense,Democratic elections,48258,10,0.4,0.7,0.28
Llama 3.1 8B,llama_3_1_8b,8,dense,Digital financial services,34424,10,0.5,0.6,0.3
Llama 3.1 8B,llama_3_1_8b,8,dense,Economics,767282,10,0.8,0.95,0.76
Llama 3.1 8B,llama_3_1_8b,8,dense,Education,5921253,10,0.7,0.8,0.56
Llama 3.1 8B,llama_3_1_8b,8,dense,Energy,8631334,9,0.3333,0.7222,0.2407
Llama 3.1 8B,llama_3_1_8b,8,dense,Environmental Science,247835,10,0.8,0.75,0.6
Llama 3.1 8B,llama_3_1_8b,8,dense,Girls education,71707,10,0.2,0.6,0.12
Llama 3.1 8B,llama_3_1_8b,8,dense,Health,8504910,10,0.5,0.75,0.375
Llama 3.1 8B,llama_3_1_8b,8,dense,Infectious disease,469401,10,0.6,0.95,0.57
Llama 3.1 8B,llama_3_1_8b,8,dense,Insecticide-treated bed nets for malaria,1331,10,0.1,0.9,0.09
Llama 3.1 8B,llama_3_1_8b,8,dense,Malaria prevention,13463,10,0.1,0.95,0.095
Llama 3.1 8B,llama_3_1_8b,8,dense,Microfinance loan repayment,1341,10,0.3,0.45,0.135
Llama 3.1 8B,llama_3_1_8b,8,dense,Mini-grid electrification,747,5,0.0,1.0,0.0
Llama 3.1 8B,llama_3_1_8b,8,dense,Mobile banking,17971,9,0.1111,0.8889,0.0988
Llama 3.1 8B,llama_3_1_8b,8,dense,Political Science,285942,10,0.8,0.8,0.64
Llama 3.1 8B,llama_3_1_8b,8,dense,Renewable energy,501950,10,0.1,0.75,0.075
Llama 3.1 8B,llama_3_1_8b,8,dense,Rural electrification,9391,10,0.1,0.9,0.09
Llama 3.1 8B,llama_3_1_8b,8,dense,School dropout,19413,10,0.2,0.8,0.16
Llama 3.1 8B,llama_3_1_8b,8,dense,School dropout prevention programs in rural areas,32,9,0.1111,0.5556,0.0617
Llama 3.1 8B,llama_3_1_8b,8,dense,Voter turnout,10283,10,0.3,0.7,0.21
Qwen3 8B nothink,qwen3_8b_nothink,8,dense,Biometric voter registration,171,10,0.0,0.95,0.0
Qwen3 8B nothink,qwen3_8b_nothink,8,dense,Climate change,1222665,10,0.1,0.9,0.09
Qwen3 8B nothink,qwen3_8b_nothink,8,dense,Climate change adaptation in agriculture,25815,10,0.0,1.0,0.0
Qwen3 8B nothink,qwen3_8b_nothink,8,dense,Climate-smart agriculture for smallholder farmers,1406,6,0.1667,0.8333,0.1389
Qwen3 8B nothink,qwen3_8b_nothink,8,dense,Democratic elections,48258,10,0.1,0.8,0.08
Qwen3 8B nothink,qwen3_8b_nothink,8,dense,Digital financial services,34424,10,0.1,0.9,0.09
Qwen3 8B nothink,qwen3_8b_nothink,8,dense,Economics,767282,10,0.1,0.8,0.08
Qwen3 8B nothink,qwen3_8b_nothink,8,dense,Education,5921253,10,0.0,0.85,0.0
Qwen3 8B nothink,qwen3_8b_nothink,8,dense,Energy,8631334,10,0.1,0.75,0.075
Qwen3 8B nothink,qwen3_8b_nothink,8,dense,Environmental Science,247835,10,0.0,0.95,0.0
Qwen3 8B nothink,qwen3_8b_nothink,8,dense,Girls education,71707,10,0.0,1.0,0.0
Qwen3 8B nothink,qwen3_8b_nothink,8,dense,Health,8504910,10,0.0,0.8,0.0
Qwen3 8B nothink,qwen3_8b_nothink,8,dense,Infectious disease,469401,10,0.1,0.95,0.095
Qwen3 8B nothink,qwen3_8b_nothink,8,dense,Insecticide-treated bed nets for malaria,1331,10,0.0,0.95,0.0
Qwen3 8B nothink,qwen3_8b_nothink,8,dense,Malaria prevention,13463,10,0.1,0.65,0.065
Qwen3 8B nothink,qwen3_8b_nothink,8,dense,Microfinance loan repayment,1341,10,0.0,0.75,0.0
Qwen3 8B nothink,qwen3_8b_nothink,8,dense,Mini-grid electrification,747,10,0.0,1.0,0.0
Qwen3 8B nothink,qwen3_8b_nothink,8,dense,Mobile banking,17971,10,0.0,1.0,0.0
Qwen3 8B nothink,qwen3_8b_nothink,8,dense,Political Science,285942,10,0.2,0.75,0.15
Qwen3 8B nothink,qwen3_8b_nothink,8,dense,Renewable energy,501950,10,0.1,0.9,0.09
Qwen3 8B nothink,qwen3_8b_nothink,8,dense,Rural electrification,9391,10,0.0,0.95,0.0
Qwen3 8B nothink,qwen3_8b_nothink,8,dense,School dropout,19413,10,0.0,0.9,0.0
Qwen3 8B nothink,qwen3_8b_nothink,8,dense,School dropout prevention programs in rural areas,32,10,0.0,1.0,0.0
Qwen3 8B nothink,qwen3_8b_nothink,8,dense,Voter turnout,10283,10,0.0,0.95,0.0
Gemma 3 12B,gemma_3_12b,12,dense,Biometric voter registration,171,10,0.1,0.55,0.055
Gemma 3 12B,gemma_3_12b,12,dense,Climate change,1222665,10,0.2,0.95,0.19
Gemma 3 12B,gemma_3_12b,12,dense,Climate change adaptation in agriculture,25815,10,0.2,0.85,0.17
Gemma 3 12B,gemma_3_12b,12,dense,Climate-smart agriculture for smallholder farmers,1406,9,0.0,0.5556,0.0
